"Московская обл., г. Пушкино, ул. Октябрьская, д.32","Область","Московская обл.","МР/Г.О.","Пушкинский МР","Населенный пункт"," г. Пушкино","Улица","    Октябрьская","Дом"," д.32",,
"Московская обл., г. Пушкино, ул. Октябрьская, д.34","Область","Московская обл.","МР/Г.О.","Пушкинский МР","Населенный пункт"," г. Пушкино","Улица","    Октябрьская","Дом"," д.34",,
"Московская обл., г. Пушкино, ул. Октябрьская, д.38","Область","Московская обл.","МР/Г.О.","Пушкинский МР","Населенный пункт"," г. Пушкино","Улица","    Октябрьская","Дом"," д.38",,
"Московская обл., г. Пушкино, ул. Октябрьская, д.40","Область","Московская обл.","МР/Г.О.","Пушкинский МР","Населенный пункт"," г. Пушкино","Улица","    Октябрьская","Дом"," д.40",,
"Московская обл., г. Пушкино, ул. Октябрьская, д.45","Область","Московская обл.","МР/Г.О.","Пушкинский МР","Населенный пункт"," г. Пушкино","Улица","    Октябрьская","Дом"," д.45",,
"Московская обл., г. Пушкино, ул. Октябрьская, д.61","Область","Московская обл.","МР/Г.О.","Пушкинский МР","Населенный пункт"," г. Пушкино","Улица","    Октябрьская","Дом"," д.61",,
"Московская обл., г. Пушкино, мкр. Мамонтовка, ул. Октябрьская, д.2","Область","Московская обл.","МР/Г.О.","Пушкинский МР","Населенный пункт"," г. Пушкино","Микрорайон"," мкр. Мамонтовка","Улица","    Октябрьская","Дом"," д.2"
"Московская обл., г. Пушкино, ул. Разина, д.4","Область","Московская обл.","МР/Г.О.","Пушкинский МР","Населенный пункт"," г. Пушкино","Улица","    Разина","Дом"," д.4",,
"Московская обл., г. Пушкино, ул. Разина, д.5","Область","Московская обл.","МР/Г.О.","Пушкинский МР","Населенный пункт"," г. Пушкино","Улица","    Разина","Дом"," д.5",,
"Московская обл., г. Пушкино, ул. Разина, д.6","Область","Московская обл.","МР/Г.О.","Пушкинский МР","Населенный пункт"," г. Пушкино","Улица","    Разина","Дом"," д.6",,
"Московская обл., г. Пушкино, ул. Разина, д.11","Область","Московская обл.","МР/Г.О.","Пушкинский МР","Населенный пункт"," г. Пушкино","Улица","    Разина","Дом"," д.11",,
"Московская обл., г. Пушкино, ул. Соколовская, д.18","Область","Московская обл.","МР/Г.О.","Пушкинский МР","Населенный пункт"," г. Пушкино","Улица","    Соколовская","Дом"," д.18",,
"Московская обл., г. Пушкино, ул. Соколовская, д.31","Область","Московская обл.","МР/Г.О.","Пушкинский МР","Населенный пункт"," г. Пушкино","Улица","    Соколовская","Дом"," д.31",,
"Московская обл., г. Пушкино, ул. Спортивная, д.1","Область","Московская обл.","МР/Г.О.","Пушкинский МР","Населенный пункт"," г. Пушкино","Улица","    Спортивная","Дом"," д.1",,
"Московская обл., г. Пушкино, ул. Спортивная, д.3","Область","Московская обл.","МР/Г.О.","Пушкинский МР","Населенный пункт"," г. Пушкино","Улица","    Спортивная","Дом"," д.3",,
"Московская обл., г. Пушкино, ул. Спортивная, д.5","Область","Московская обл.","МР/Г.О.","Пушкинский МР","Населенный пункт"," г. Пушкино","Улица","    Спортивная","Дом"," д.5",,
"Московская обл., г. Пушкино, ул. Текстильщиков, д.1","Область","Московская обл.","МР/Г.О.","Пушкинский МР","Населенный пункт"," г. Пушкино","Улица","    Текстильщиков","Дом"," д.1",,
"Московская обл., г. Пушкино, ул. Текстильщиков, д.3","Область","Московская обл.","МР/Г.О.","Пушкинский МР","Населенный пункт"," г. Пушкино","Улица","    Текстильщиков","Дом"," д.3",,
"Московская обл., г. Пушкино, ул. Текстильщиков, д.5","Область","Московская обл.","МР/Г.О.","Пушкинский МР","Населенный пункт"," г. Пушкино","Улица","    Текстильщиков","Дом"," д.5",,
"Московская обл., г. Пушкино, ул. Текстильщиков, д.6","Область","Московская обл.","МР/Г.О.","Пушкинский МР","Населенный пункт"," г. Пушкино","Улица","    Текстильщиков","Дом"," д.6",,
"Московская обл., г. Пушкино, ул. Текстильщиков, д.8","Область","Московская обл.","МР/Г.О.","Пушкинский МР","Населенный пункт"," г. Пушкино","Улица","    Текстильщиков","Дом"," д.8",,
"Московская обл., г. Пушкино, ул. Текстильщиков, д.10","Область","Московская обл.","МР/Г.О.","Пушкинский МР","Населенный пункт"," г. Пушкино","Улица","    Текстильщиков","Дом"," д.10",,
"Московская обл., г. Пушкино, ул. Центральная, д.2","Область","Московская обл.","МР/Г.О.","Пушкинский МР","Населенный пункт"," г. Пушкино","Улица","    Центральная","Дом"," д.2",,
"Московская обл., г. Пушкино, Центральный пр-д, д.4","Область","Московская обл.","МР/Г.О.","Пушкинский МР","Населенный пункт"," г. Пушкино","Улица"," Центральный пр-д","Дом"," д.4",,
"Московская обл., г. Пушкино, ул. Чапаева, д.9/11","Область","Московская обл.","МР/Г.О.","Пушкинский МР","Населенный пункт"," г. Пушкино","Улица","    Чапаева","Дом"," д.9/11",,
"Московская обл., г. Пушкино, мкр. Мамонтовка, ул. Горького, д.1","Область","Московская обл.","МР/Г.О.","Пушкинский МР","Населенный пункт"," г. Пушкино","Микрорайон"," мкр. Мамонтовка","Улица","    Горького","Дом"," д.1"
"Московская обл., г. Пушкино, мкр. Мамонтовка, ул. Горького, д.1а","Область","Московская обл.","МР/Г.О.","Пушкинский МР","Населенный пункт"," г. Пушкино","Микрорайон"," мкр. Мамонтовка","Улица","    Горького","Дом"," д.1а"
